name,latitude,longitude,heading,shiptype
0,29.1225,49.48167,269,TANKER
1,29.1225,49.4815,96,TANKER
2,29.10991,48.49809,285,TANKER
3,29.10225,48.38405,129,TANKER
4,29.57257,48.91104,177,TANKER
5,29.57074,48.91083,198,TANKER
6,29.65519,48.84325,14,TANKER
7,29.65305,48.84903,236,TANKER
8,29.5925,48.79667,287,TANKER
9,28.70238,50.02923,139,TANKER
10,29.45074,48.92717,158,TANKER
11,29.21693,49.15282,148,TANKER
12,26.94012,50.03796,254,TANKER
13,26.98159,50.1897,309,TANKER
14,27.09163,50.30468,251,TANKER
15,29.08106,48.27813,105,TANKER
16,27.09754,50.73508,90,TANKER
17,27.12314,50.81553,269,TANKER
18,26.94394,50.07529,241,TANKER
19,29.12989,48.15165,8,TANKER
20,28.46595,48.64719,null,TANKER
21,27.11634,50.24941,203,TANKER
22,29.3385,49.35747,193,TANKER
23,29.33775,49.35682,246,TANKER
24,29.61352,48.87375,141,TANKER
25,29.39375,48.95642,153,TANKER
26,27.07369,49.67246,295,CARGO
27,27.07371,49.67245,248,CARGO
28,28.69338,48.55664,237,TANKER
29,28.89419,49.55245,96,TANKER
30,29.12908,48.14966,239,TANKER
31,30.19775,47.88218,244,TANKER
32,28.88503,49.36065,263,TANKER
33,28.985,48.425,305,TANKER
34,29.02705,48.20691,267,TANKER
35,27.27308,49.93768,169,TANKER
36,27.27284,49.93741,169,TANKER
37,27.11955,50.79183,269,TANKER
38,29.32087,49.31407,306,TANKER
39,29.30548,48.87866,109,TANKER
40,29.30167,48.88,189,TANKER
41,29.78253,48.80919,332,TANKER
42,27.37429,50.1638,230,TANKER
43,30.06415,47.93221,350,CARGO
44,28.798,49.59197,298,CARGO
45,28.99877,48.31859,198,CARGO
46,29.81894,49.26693,153,CARGO
47,29.84,49.23133,192,CARGO
48,29.83883,49.23067,156,CARGO
49,29.70084,49.61427,191,CARGO
50,29.70051,49.61403,191,CARGO
51,29.87475,49.20187,323,CARGO
52,29.75623,49.587,206,CARGO
53,29.755,49.58667,28,CARGO
54,29.71067,49.51188,189,CARGO
55,29.70839,49.51157,189,CARGO
56,29.4277,48.0761,17,CARGO
57,29.75478,49.53125,228,CARGO
58,29.75333,49.53,228,CARGO
59,28.73222,48.73424,115,TANKER
60,28.73167,48.73333,115,TANKER
61,30.44167,49.04167,113,CARGO
62,29.75321,49.35442,206,CARGO
63,29.75257,49.35375,223,CARGO
64,29.7449,49.3678,121,CARGO
65,29.74176,49.36898,126,CARGO
66,29.6824,48.69357,3,CARGO
67,29.6798,48.69692,280,CARGO
68,27.55419,49.19744,123,CARGO
69,27.60803,49.26133,51,CARGO
70,29.35167,47.935,234,CARGO
71,30.02016,47.95277,277,CARGO
72,27.35257,50.11125,265,TANKER
73,29.29885,48.986,191,TANKER
74,29.2979,48.98505,233,TANKER
75,27.33447,50.09154,215,TANKER
76,30.43355,49.05752,89,CARGO
77,30.43355,49.05748,89,CARGO
78,28.93965,48.39811,270,CARGO
79,29.61632,48.72115,306,TANKER
80,29.61377,48.72367,197,TANKER
81,28.28913,50.34241,322,CARGO
82,27.71889,50.79637,114,CARGO
83,27.24646,49.88462,337,CARGO
84,27.56684,49.19134,156,CARGO
85,27.56683,49.19131,229,CARGO
86,27.69795,49.40745,224,CARGO
87,27.6552,49.33994,235,CARGO
88,27.02498,49.68849,261,CARGO
89,29.34803,47.92247,333,CARGO
90,29.32497,49.095,287,CARGO
91,29.32499,49.09498,287,CARGO
92,27.16643,49.81692,234,TANKER
93,27.16645,49.81658,234,TANKER
94,27.11518,49.76107,269,TANKER
95,27.33675,50.20457,72,TANKER
96,28.99747,50.83216,286,TANKER
97,28.98023,48.47065,96,TANKER
98,28.74896,50.20179,125,TANKER
99,28.33818,50.2459,319,CARGO
100,29.62267,49.46417,230,TANKER
101,29.62224,49.46377,230,TANKER
102,27.43778,50.41437,319,TANKER
103,30.45224,49.03362,33,CARGO
104,28.94362,49.46904,313,CARGO
105,30.04606,47.94178,203,CARGO
106,28.30411,49.74923,271,SUPPORT
107,28.30413,49.74923,74,SUPPORT
108,28.89061,48.95901,90,CARGO
109,28.8624,49.17931,95,CARGO
110,27.51719,50.6799,133,TANKER
111,29.2445,49.46085,309,TANKER
112,30.14517,48.97684,346,TANKER
113,27.2468,50.63626,263,TANKER
114,27.7,49.5,358,CARGO
115,27.7,49.5,358,CARGO
116,27.75074,49.48609,0,CARGO
117,28.44689,50.59634,335,CARGO
118,30.02833,48.15333,0,TANKER
119,29.6543,48.75446,42,TANKER
120,29.44676,48.93156,155,TANKER
121,28.46572,49.5762,null,SUPPORT
122,28.62203,49.63386,333,SUPPORT
123,28.96458,49.4646,306,CARGO
124,29.05145,49.33832,328,CARGO
125,28.90176,49.89385,325,CARGO
126,28.9181,49.87881,314,CARGO
127,29.28811,49.50755,129,SUPPORT
128,28.35756,49.71088,null,SUPPORT
129,27.17131,49.68227,155,SUPPORT
130,27.17,49.68167,155,SUPPORT
131,27.42622,50.0886,299,TANKER
132,27.72277,49.56735,299,TANKER
133,28.52087,50.46822,126,TANKER
134,28.4559,48.95535,null,SUPPORT
135,29.99035,49.05704,316,SUPPORT
136,30.00002,49.04459,312,SUPPORT
137,29.10957,49.69039,318,TANKER
138,29.11574,49.68434,318,TANKER
139,30.05613,49.00525,153,SUPPORT
140,30.19899,48.97861,350,SUPPORT
141,29.408,48.04367,110,SUPPORT
142,27.13332,49.64508,250,SUPPORT
143,27.13338,49.64508,250,SUPPORT
144,28.43603,49.27293,null,SUPPORT
145,28.43606,49.27297,null,SUPPORT
146,29.40283,48.84508,0,SUPPORT
147,29.40281,48.84514,0,SUPPORT
148,28.15744,50.00946,184,SUPPORT
149,28.97222,50.73733,36,SUPPORT
150,30.01679,48.44598,134,SUPPORT
151,28.33616,49.08823,150,SUPPORT
152,28.33618,49.08832,150,SUPPORT
153,29.24235,49.29012,115,TANKER
154,29.24226,49.29016,115,TANKER
155,27.80776,49.28381,226,SUPPORT
156,27.77167,48.88334,178,SUPPORT
157,27.30027,50.26933,114,SUPPORT
158,28.47605,48.93093,305,SUPPORT
159,28.47373,48.93411,174,SUPPORT
160,27.69558,50.02063,355,SUPPORT
161,28.35951,49.81942,203,SUPPORT
162,28.34623,49.78407,250,SUPPORT
163,27.84094,50.37181,212,SUPPORT
164,28.57987,49.45044,null,SUPPORT
165,28.57988,49.45047,null,SUPPORT
166,28.34954,49.26056,null,SUPPORT
167,28.34934,49.26055,null,SUPPORT
168,29.87292,48.35018,124,SUPPORT
169,28.36513,48.90946,8,SUPPORT
170,28.40658,48.88376,333,SUPPORT
171,27.87317,48.9045,82,SUPPORT
172,28.5802,49.44976,135,SUPPORT
173,28.58333,49.44167,251,SUPPORT
174,27.83221,49.171,50,SUPPORT
175,27.83191,49.17066,207,SUPPORT
176,28.25273,49.10564,147,SUPPORT
177,28.21333,48.84,74,SUPPORT
178,28.15668,49.62803,228,SUPPORT
179,28.30119,48.85959,305,SUPPORT
180,26.89826,50.53571,230,SUPPORT
181,28.3176,49.00331,261,SUPPORT
182,28.26127,48.79351,150,SUPPORT
183,28.40373,49.15126,20,SUPPORT
184,28.30729,49.45015,145,SUPPORT
185,28.30733,49.45005,320,SUPPORT
186,28.40604,48.96663,204,SUPPORT
187,28.40584,48.96655,204,SUPPORT
188,28.25175,49.07229,81,SUPPORT
189,28.24833,49.07333,44,SUPPORT
190,28.35911,49.82516,135,SUPPORT
191,28.44898,49.36835,355,SUPPORT
192,28.44905,49.36835,355,SUPPORT
193,29.82166,48.47029,null,TANKER
194,28.26928,48.94727,215,SUPPORT
195,28.10999,48.84132,333,SUPPORT
196,27.18198,49.63889,264,SUPPORT
197,27.18201,49.63894,263,SUPPORT
198,27.96741,48.92582,10,SUPPORT
199,27.99624,48.85404,21,SUPPORT
200,28.49949,49.38409,284,SUPPORT
201,28.50373,49.3397,210,SUPPORT
202,28.36553,49.47714,242,SUPPORT
203,28.35695,49.45774,243,SUPPORT
204,28.4154,48.52805,68,SUPPORT
205,28.4602,49.54673,264,SUPPORT
206,28.46016,49.54685,66,SUPPORT
207,27.20971,50.38278,176,SUPPORT
208,28.12146,48.86308,172,SUPPORT
209,28.12159,48.86312,298,SUPPORT
210,27.99468,48.83298,44,SUPPORT
211,27.99475,48.83308,44,SUPPORT
212,27.94684,49.34327,355,SUPPORT
213,27.95333,49.34333,8,SUPPORT
214,27.97586,49.34,177,SUPPORT
215,27.74989,49.14303,86,SUPPORT
216,27.27099,50.4007,96,SUPPORT
217,27.27025,50.40714,95,SUPPORT
218,28.29635,49.23126,0,SUPPORT
219,28.29636,49.23122,0,SUPPORT
220,28.27229,49.09062,356,SUPPORT
221,28.22693,49.03485,103,SUPPORT
222,27.83144,49.15509,115,SUPPORT
223,27.75522,49.06138,98,SUPPORT
224,27.51623,49.26922,243,SUPPORT
225,27.51627,49.26928,227,SUPPORT
226,28.40787,49.11271,354,SUPPORT
227,28.47921,49.17098,73,SUPPORT
228,28.39775,49.10986,198,SUPPORT
229,28.39327,49.10954,50,SUPPORT
230,28.14808,50.0065,0,SUPPORT
231,27.26451,49.68483,45,SUPPORT
232,27.2644,49.68347,218,SUPPORT
233,30.29466,48.31266,117,CARGO
234,30.5,47.85833,116,PASSENGER
235,28.02167,48.73167,344,SUPPORT
236,30.43331,48.15593,null,CARGO
237,29.60315,50.46912,0,CARGO
238,29.19792,50.35199,324,SUPPORT
239,27.28395,49.98782,1,SUPPORT
240,29.91963,48.62803,289,SUPPORT
241,28.78839,50.14183,247,SUPPORT
242,28.16366,48.68582,100,SUPPORT
243,28.3979,49.56583,158,SUPPORT
244,28.39786,49.5658,158,SUPPORT
245,29.22083,50.33267,141,SUPPORT
246,29.17823,50.07391,282,SUPPORT
247,27.73977,49.52085,306,SUPPORT
248,27.75401,49.02441,261,SUPPORT
249,28.1482,49.68571,108,SUPPORT
250,27.85167,49.31833,235,SUPPORT
251,27.11689,50.40158,356,SUPPORT
252,26.86268,49.90752,0,SUPPORT
253,28.27422,49.7444,176,SUPPORT
254,28.21207,49.74758,177,SUPPORT
255,27.84977,49.92356,150,SUPPORT
256,26.98903,50.53566,0,SUPPORT
257,30.19188,48.41442,334,CARGO
258,26.85114,50.35627,77,SUPPORT
259,30.56146,47.79183,301,SUPPORT
260,29.85308,48.71861,296,SUPPORT
261,28.10966,49.08697,183,SUPPORT
262,28.10855,49.08697,183,SUPPORT
263,28.33339,49.64374,307,SUPPORT
264,28.3334,49.64379,307,SUPPORT
265,29.31744,50.36306,257,SUPPORT
266,30.43834,48.14789,0,CARGO
267,28.02666,49.0134,54,SUPPORT
268,28.02645,49.01334,54,SUPPORT
269,27.61287,49.10776,70,SUPPORT
270,27.605,49.01833,197,SUPPORT
271,28.46382,48.84988,67,SUPPORT
272,26.89301,49.80737,0,CARGO
273,29.35832,48.43495,81,CARGO
274,28.29732,49.0478,347,SUPPORT
275,28.2972,49.04584,65,SUPPORT
276,29.9879,48.47158,301,CARGO
277,27.42609,50.60062,null,SUPPORT
278,27.87973,48.83414,128,SUPPORT
279,27.8796,48.83247,22,SUPPORT
280,28.71831,48.38601,207,SUPPORT
281,29.72361,48.62032,null,TANKER
282,28.25128,48.8744,147,SUPPORT
283,28.24923,48.87917,23,SUPPORT
284,28.74929,48.88491,253,SUPPORT
285,28.42923,48.57495,253,SUPPORT
286,28.97818,50.85192,0,SUPPORT
287,29.82633,50.25417,null,SUPPORT
288,27.67894,50.16118,227,SUPPORT
289,29.38283,49.15984,129,SUPPORT
290,27.00825,50.56352,235,SUPPORT
291,27.5493,49.19624,209,SUPPORT
292,27.93644,48.97788,328,SUPPORT
293,27.93857,48.9841,279,SUPPORT
294,29.71772,50.16522,150,SUPPORT
295,29.71667,50.165,150,SUPPORT
296,27.65738,49.90092,138,SUPPORT
297,29.3496,48.09846,null,PASSENGER
298,28.05365,48.72543,122,SUPPORT
299,30.45911,48.02177,187,SUPPORT
300,30.46765,49.1873,252,SUPPORT
301,27.25838,49.63863,218,SUPPORT
302,27.25667,49.63667,322,SUPPORT
303,29.6512,48.85075,50,SUPPORT
304,28.46985,49.68708,109,SUPPORT
305,28.45563,49.6901,131,SUPPORT
306,27.8613,50.36191,57,SUPPORT
307,27.86112,50.36235,137,SUPPORT
308,28.44402,48.71792,77,SUPPORT
309,28.49626,49.71687,null,SUPPORT
310,28.58963,49.67783,323,SUPPORT
311,29.33206,49.49583,204,SUPPORT
312,29.25034,49.84602,106,SUPPORT
313,27.62946,49.0608,237,SUPPORT
314,27.6408,49.08764,101,SUPPORT
315,27.73793,49.04415,288,SUPPORT
316,29.30891,49.55296,null,SUPPORT
317,29.30866,49.55275,null,SUPPORT
318,27.04293,50.60135,138,CARGO
319,26.94196,50.70233,147,CARGO
320,30.48071,49.06449,354,UNKNOWN
321,28.05286,50.21833,119,FISHING
322,27.93249,49.54696,196,FISHING
323,27.58782,50.1128,120,FISHING
324,27.35843,49.66505,289,FISHING
325,27.36894,49.79493,145,FISHING
326,27.82875,49.61871,null,FISHING
327,27.55187,49.64955,133,FISHING
328,29.23054,50.19718,176,SUPPORT
329,27.67349,49.32259,338,FISHING
330,27.57135,49.54838,141,FISHING
331,27.29122,49.41085,355,YACHT
332,28.11334,49.90193,null,FISHING
333,27.80968,49.73762,105,FISHING
334,29.53148,48.58429,199,UNKNOWN
335,29.95856,49.67915,161,SUPPORT
336,29.95849,49.6792,185,SUPPORT
337,27.49068,49.90383,17,FISHING
338,27.60736,50.15733,231,FISHING
339,27.64859,49.6889,1,FISHING
340,27.65059,49.68954,186,FISHING
341,27.50812,49.99684,159,FISHING
342,29.14497,49.90067,140,FISHING
343,29.13119,49.91087,148,FISHING
344,27.52974,49.53799,39,FISHING
345,27.15589,49.39988,null,FISHING
346,27.72509,49.62026,null,FISHING
347,27.45261,49.75644,136,FISHING
348,29.18887,48.33201,133,CARGO
349,26.89169,50.34452,null,FISHING
350,27.48892,49.51411,334,FISHING
351,27.71506,49.3501,334,FISHING
352,28.19433,50.50422,157,FISHING
353,27.80707,49.78446,104,FISHING
354,28.15657,50.07886,null,YACHT
355,27.806,50.15819,null,FISHING
356,27.97811,48.95984,272,FISHING
357,28.11571,49.23248,141,FISHING
358,27.39903,49.4713,null,FISHING
359,27.99098,50.25456,162,FISHING
360,27.98937,50.25562,136,FISHING
361,26.75814,50.41606,64,FISHING
362,26.99537,50.69932,38,FISHING
363,29.07223,49.98523,114,FISHING
364,29.0661,49.99059,114,FISHING
365,29.85147,49.6329,208,SUPPORT
366,29.47678,49.39308,296,SUPPORT
367,27.08434,49.94483,356,FISHING
368,27.07931,49.93574,161,FISHING
369,28.96579,49.86146,159,FISHING
370,28.95683,49.8672,148,FISHING
371,27.14848,50.11703,334,FISHING
372,29.34915,50.39264,186,UNKNOWN
373,29.28377,48.18959,298,SUPPORT
374,27.1776,50.16534,null,FISHING
375,26.82502,50.93795,267,FISHING
376,27.32754,49.83935,117,FISHING
377,27.32614,49.84684,37,FISHING
378,27.68996,50.13385,187,FISHING
379,26.9611,50.27456,16,FISHING
380,28.19284,49.08938,329,FISHING
381,28.57166,48.90916,98,FISHING
382,27.02859,49.78094,259,FISHING
383,27.82238,49.93913,137,YACHT
384,27.82239,49.9391,49,YACHT
385,30.28679,48.90547,329,SUPPORT
386,29.95367,49.09222,null,UNKNOWN
387,28.48141,49.39883,351,SUPPORT
388,29.20299,49.87127,139,FISHING
389,29.33371,50.50596,171,CARGO
390,28.06443,49.59182,181,FISHING
391,27.24291,50.26309,143,FISHING
392,27.24154,50.26406,154,FISHING
393,28.98908,49.61604,347,FISHING
394,29.24803,49.86029,null,FISHING
395,28.93665,48.88475,null,UNKNOWN
396,29.93717,49.10669,null,UNKNOWN
397,27.35801,50.01885,85,FISHING
398,27.35161,49.8894,null,FISHING
399,27.35159,49.88941,null,FISHING
400,28.65518,50.35138,139,FISHING
401,26.83417,50.79132,130,FISHING
402,28.15214,49.71774,199,FISHING
403,27.88833,49.23403,253,FISHING
404,27.80573,49.96824,139,FISHING
405,28.55502,50.90343,72,FISHING
406,29.18452,49.84053,0,UNKNOWN
407,27.03915,49.98007,262,FISHING
408,27.02472,49.89537,null,FISHING
409,28.03593,49.87714,null,FISHING
410,28.13685,50.12247,250,FISHING
411,26.79255,50.67056,161,FISHING
412,27.7716,49.42108,278,FISHING
413,27.49103,49.60084,166,FISHING
414,26.84569,50.20871,51,UNKNOWN
415,27.33822,50.50548,136,SUPPORT
416,28.298,50.80952,165,UNKNOWN
417,29.05055,49.97633,119,FISHING
418,29.04665,49.9785,119,FISHING
419,27.03718,50.13252,28,FISHING
420,29.05992,49.7963,145,UNKNOWN
421,27.87967,49.61123,null,FISHING
422,29.26688,50.32765,318,SUPPORT
423,27.92503,49.68367,null,FISHING
424,27.92501,49.68368,null,FISHING
425,27.54375,49.36808,145,FISHING
426,27.81868,49.10066,150,FISHING
427,27.44007,49.37416,null,FISHING
428,26.85377,50.43446,307,FISHING
429,27.29803,49.96041,164,FISHING
430,27.17395,49.99863,null,FISHING
431,28.00758,50.24763,125,FISHING
432,27.16077,50.10389,null,FISHING
433,30.05847,50.14855,168,SUPPORT
434,27.42893,49.75113,259,FISHING
435,27.42433,49.68772,287,FISHING
436,29.05475,50.05767,null,FISHING
437,27.67475,49.80001,280,FISHING
438,27.52495,49.72225,358,FISHING
439,28.13193,49.45545,324,CARGO
440,28.7302,49.20596,315,CARGO
441,29.16261,50.03765,87,SUPPORT
442,28.41561,50.91148,136,FISHING
443,28.39461,50.92123,159,FISHING
444,28.67777,50.32989,158,FISHING
445,28.00154,49.07179,null,FISHING
446,29.38135,47.79733,45,UNKNOWN
447,28.19629,49.68612,236,FISHING
448,28.08703,49.6915,null,FISHING
449,27.57537,49.78826,101,FISHING
450,28.05894,49.01921,null,FISHING
451,29.0006,50.29815,0,FISHING
452,26.87083,50.62213,326,FISHING
453,28.11834,49.30116,208,FISHING
454,28.11942,49.29867,48,FISHING
455,27.59026,48.90856,null,FISHING
456,28.13246,49.55967,45,FISHING
457,28.1255,49.7831,75,FISHING
458,27.76846,50.08723,130,FISHING
459,27.55433,49.44974,279,FISHING
460,27.41999,49.55552,321,FISHING
461,28.0395,49.98312,237,FISHING
462,28.25272,49.87091,null,FISHING
463,26.83289,50.53232,288,FISHING
464,27.59022,49.67718,null,FISHING
465,27.58897,49.67808,null,FISHING
466,27.70725,49.18924,null,FISHING
467,27.67468,49.18921,134,FISHING
468,26.78068,50.42417,235,FISHING
469,27.05408,50.52592,136,FISHING
470,27.83539,49.63721,326,FISHING
471,28.02213,49.77289,232,FISHING
472,29.59835,48.53377,359,FISHING
473,26.88947,50.24677,112,FISHING
474,28.3591,50.94737,157,FISHING
475,28.35295,50.9505,174,FISHING
476,28.00438,50.49092,79,FISHING
477,29.85825,48.46607,null,SUPPORT
478,30.03623,49.44561,298,YACHT
479,27.96417,49.43976,314,FISHING
480,26.99004,50.35672,356,FISHING
481,27.11917,49.98813,100,FISHING
482,28.51595,50.82852,163,YACHT
483,27.48515,50.28436,138,FISHING
484,26.66365,50.18391,1,TANKER
485,26.6637,50.18387,31,TANKER
486,26.94012,50.03796,254,TANKER
487,26.98159,50.1897,309,TANKER
488,27.09163,50.30468,251,TANKER
489,27.09754,50.73508,90,TANKER
490,27.12314,50.81553,269,TANKER
491,26.94394,50.07529,241,TANKER
492,27.11634,50.24941,203,TANKER
493,27.07369,49.67246,295,CARGO
494,27.07371,49.67245,248,CARGO
495,26.29938,50.78085,2,CARGO
496,26.19026,50.68753,72,CARGO
497,26.64657,50.24304,217,TANKER
498,26.61104,50.29798,178,CARGO
499,27.27308,49.93768,169,TANKER
500,27.27284,49.93741,169,TANKER
501,27.11955,50.79183,269,TANKER
502,26.53872,50.17344,239,CARGO
503,26.15667,50.77061,226,TANKER
504,27.33447,50.09154,215,TANKER
505,27.24646,49.88462,337,CARGO
506,27.02498,49.68849,261,CARGO
507,27.16643,49.81692,234,TANKER
508,27.16645,49.81658,234,TANKER
509,27.11518,49.76107,269,TANKER
510,27.33675,50.20457,72,TANKER
511,26.14695,50.78028,226,TANKER
512,27.2468,50.63626,263,TANKER
513,27.17131,49.68227,155,SUPPORT
514,27.17,49.68167,155,SUPPORT
515,27.13332,49.64508,250,SUPPORT
516,27.13338,49.64508,250,SUPPORT
517,26.37102,50.6742,43,SUPPORT
518,24.51828,45.14221,260,TANKER
519,27.30027,50.26933,114,SUPPORT
520,26.195,50.62892,220,CARGO
521,26.89826,50.53571,230,SUPPORT
522,26.32153,50.72551,null,SUPPORT
523,27.18198,49.63889,264,SUPPORT
524,27.18201,49.63894,263,SUPPORT
525,27.20971,50.38278,176,SUPPORT
526,27.27099,50.4007,96,SUPPORT
527,27.27025,50.40714,95,SUPPORT
528,27.26451,49.68483,45,SUPPORT
529,27.2644,49.68347,218,SUPPORT
530,27.28395,49.98782,1,SUPPORT
531,27.11689,50.40158,356,SUPPORT
532,26.86268,49.90752,0,SUPPORT
533,26.98903,50.53566,0,SUPPORT
534,26.85114,50.35627,77,SUPPORT
535,26.89301,49.80737,0,CARGO
536,26.18025,50.21756,null,SUPPORT
537,26.6563,50.26945,257,SUPPORT
538,27.00825,50.56352,235,SUPPORT
539,27.25838,49.63863,218,SUPPORT
540,27.25667,49.63667,322,SUPPORT
541,26.01577,50.47139,251,YACHT
542,26.015,50.47,163,YACHT
543,26.76404,50.57664,190,FISHING
544,26.38898,50.48007,151,YACHT
545,26.60304,50.08147,null,UNKNOWN
546,26.26857,50.49215,212,FISHING
547,26.37389,50.91528,53,YACHT
548,26.40874,50.95833,null,YACHT
549,26.04316,50.72042,274,FISHING
550,26.9611,50.27456,16,FISHING
551,26.65917,50.02879,null,FISHING
552,26.65914,50.02882,null,FISHING
553,27.05408,50.52592,136,FISHING
554,26.88947,50.24677,112,FISHING
555,26.83289,50.53232,288,FISHING
556,26.78068,50.42417,235,FISHING
557,26.10342,50.45202,165,FISHING
558,26.66133,50.7366,154,FISHING
559,26.63985,50.73345,341,FISHING
560,26.70627,50.88279,153,FISHING
561,25.64439,50.21558,null,TANKER
562,25.64439,50.21559,null,TANKER
563,27.1776,50.16534,null,FISHING
564,26.82502,50.93795,267,FISHING
565,27.32754,49.83935,117,FISHING
566,27.32614,49.84684,37,FISHING
567,25.92675,50.63152,359,UNKNOWN
568,27.08434,49.94483,356,FISHING
569,27.07931,49.93574,161,FISHING
570,26.75814,50.41606,64,FISHING
571,26.99537,50.69932,38,FISHING
572,25.46102,50.40315,194,UNKNOWN
